Time,url
2012-03-05 23:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/05/white-light/2012_03_05__23_54_05_583__SOHO_LASCO_C3_white-light.jp2
2012-03-06 00:06:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__00_06_07_975__SOHO_LASCO_C3_white-light.jp2
2012-03-06 00:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__00_18_05_567__SOHO_LASCO_C3_white-light.jp2
2012-03-06 00:30:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__00_30_05_458__SOHO_LASCO_C3_white-light.jp2
2012-03-06 00:42:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__00_42_06_149__SOHO_LASCO_C3_white-light.jp2
2012-03-06 00:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__00_54_06_242__SOHO_LASCO_C3_white-light.jp2
2012-03-06 01:30:22+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__01_30_22_117__SOHO_LASCO_C3_white-light.jp2
2012-03-06 01:42:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__01_42_06_608__SOHO_LASCO_C3_white-light.jp2
2012-03-06 01:54:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__01_54_05_400__SOHO_LASCO_C3_white-light.jp2
2012-03-06 02:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__02_06_05_592__SOHO_LASCO_C3_white-light.jp2
2012-03-06 02:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__02_18_06_784__SOHO_LASCO_C3_white-light.jp2
2012-03-06 02:30:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__02_30_07_175__SOHO_LASCO_C3_white-light.jp2
2012-03-06 02:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__02_42_05_468__SOHO_LASCO_C3_white-light.jp2
2012-03-06 03:06:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__03_06_05_450__SOHO_LASCO_C3_white-light.jp2
2012-03-06 03:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__03_18_06_642__SOHO_LASCO_C3_white-light.jp2
2012-03-06 03:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__03_30_06_134__SOHO_LASCO_C3_white-light.jp2
2012-03-06 03:42:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__03_42_05_926__SOHO_LASCO_C3_white-light.jp2
2012-03-06 03:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__03_54_06_417__SOHO_LASCO_C3_white-light.jp2
2012-03-06 04:06:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__04_06_05_409__SOHO_LASCO_C3_white-light.jp2
2012-03-06 04:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__04_18_06_801__SOHO_LASCO_C3_white-light.jp2
2012-03-06 04:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__04_30_06_393__SOHO_LASCO_C3_white-light.jp2
2012-03-06 04:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__04_42_05_484__SOHO_LASCO_C3_white-light.jp2
2012-03-06 04:54:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__04_54_05_476__SOHO_LASCO_C3_white-light.jp2
2012-03-06 05:06:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__05_06_06_667__SOHO_LASCO_C3_white-light.jp2
2012-03-06 05:18:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__05_18_07_959__SOHO_LASCO_C3_white-light.jp2
2012-03-06 05:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__05_30_05_551__SOHO_LASCO_C3_white-light.jp2
2012-03-06 05:42:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__05_42_05_743__SOHO_LASCO_C3_white-light.jp2
2012-03-06 05:54:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__05_54_05_435__SOHO_LASCO_C3_white-light.jp2
2012-03-06 06:06:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__06_06_07_626__SOHO_LASCO_C3_white-light.jp2
2012-03-06 06:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__06_18_05_918__SOHO_LASCO_C3_white-light.jp2
2012-03-06 06:30:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__06_30_05_410__SOHO_LASCO_C3_white-light.jp2
2012-03-06 06:42:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__06_42_06_402__SOHO_LASCO_C3_white-light.jp2
2012-03-06 06:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__06_54_05_593__SOHO_LASCO_C3_white-light.jp2
